x,y,z
-4.99949,-0.68171,0.569242
-4.99976,-0.491153,0.805206
-5.34948,-0.470935,0.566062
-4.99976,0.491153,0.805206
-4.90671,0.620194,0.686502
-4.99949,0.68171,0.569242
-5.29975,-0.147914,0.811038
-5.56803,-0.1192,0.568687
-4.90671,-0.620194,0.686502
-5.56803,0.1192,0.568687
-5.29975,0.147914,0.811038
-5.34948,0.470935,0.566062
3.07022,0.119728,0.996443
3.09302,0.040804,1.2763
4.99823,0.130896,1.1931
6.61402,0.063428,4.1572
6.61402,-0.063428,4.1572
7.04371,0.0,4.1572
4.99823,-0.130896,1.1931
3.09302,-0.040804,1.2763
3.07022,-0.119728,0.996443
5.17128,1.31038,-1.05594
6.13032,1.10002,-1.10694
5.0003,1.30293,-1.25995
5.17128,-1.31038,-1.05594
5.15161,-0.31047,-0.905003
5.1516,-0.815102,-0.904963
5.15161,0.31047,-0.905003
5.1516,0.815102,-0.904963
5.0003,1.21,0.173074
5.09093,1.06739,-0.472156
4.99703,0.25235,0.200598
5.0003,1.42803,0.442095
4.99777,0.504639,0.637636
5.0003,-1.21,0.173074
5.0003,-1.30293,-1.25995
5.0003,-0.539011,1.3151
5.0003,-1.14902,1.2601
6.13032,-1.10002,-1.10694
5.0003,-1.51003,0.750093
4.99776,-0.504639,0.63761
4.9985,-0.252327,1.07464
5.09093,-1.06739,-0.472156
5.0003,-1.42803,0.442095
4.99703,-0.252281,0.200558
4.9985,0.252304,1.07465
5.0003,1.51003,0.750093
5.03026,-0.815056,-0.039376
5.03026,-0.310424,-0.039389
5.03026,0.310424,-0.039389
5.03026,0.815056,-0.039376
5.0003,-0.874017,1.39912
5.75911,0.0,1.6645
5.0003,1.14902,1.2601
5.0003,0.874017,1.39912
5.0003,0.539011,1.3151
-4.64942,-0.860391,0.497003
-6.49998,-0.098825,0.133439
-7.07498,-0.304058,-0.264426
-7.07498,-0.139529,-0.169387
-7.64998,0.0,-0.62
3.07022,0.959007,0.650256
3.07022,0.866525,0.73069
-6.49998,-0.24,0.1096
-4.99995,0.16072,0.980689
-4.99932,-0.802315,0.416133
3.07022,-0.449143,0.929434
-5.3488,-0.938377,-0.030175
-6.49998,-0.61,-0.1648
-6.49998,-0.676,-0.4335
1.20879,-0.621528,0.854704
3.07022,-0.866525,0.73069
3.07022,-0.604752,0.872464
3.07022,1.05363,0.449897
1.20879,-0.875165,0.685964
-4.64971,-0.652575,0.75355
-5.34921,-0.737229,0.323968
-6.49998,-0.523,-0.0488
-7.07498,0.393008,-0.495246
-7.07498,0.354637,-0.334026
-4.64986,-0.51467,0.885149
-4.64996,-0.160748,0.9945
-4.99995,-0.16072,0.980689
-4.64971,0.652575,0.75355
-4.64942,0.860391,0.497003
-6.49998,0.098825,0.133439
-7.07498,0.057454,-0.155083
-7.07498,-0.057454,-0.155083
-4.64986,0.51467,0.885149
-4.64996,0.160748,0.9945
3.07022,0.449143,0.929434
1.20879,1.05415,0.411073
1.20879,1.06073,0.20382
-4.64909,1.03959,0.209476
-6.49993,0.693962,-0.748535
-6.49998,0.676,-0.4335
-4.9999,1.00002,-0.943979
-7.07498,0.304058,-0.264426
3.07022,-1.05363,0.449897
3.07022,-0.959007,0.650256
-6.49998,0.61,-0.1648
-5.34912,0.814175,0.247113
-5.3488,0.938377,-0.030175
-7.07498,-0.354637,-0.334026
-4.99932,0.802315,0.416133
-7.07498,0.139529,-0.169387
-5.34921,0.737229,0.323968
1.20879,0.621528,0.854704
1.20879,0.875165,0.685964
-4.9999,-1.00002,-0.943979
-4.64909,-1.03959,0.209476
-4.9999,-1.01254,0.09453
1.20879,0.467365,0.922276
1.20879,-1.06073,0.20382
1.20879,-1.05415,0.411073
3.07022,0.604752,0.872464
-6.49998,0.24,0.1096
-7.07496,0.40345,-0.684268
-5.34912,-0.814175,0.247113
-4.9999,1.01254,0.09453
-6.49998,0.523,-0.0488
3.07022,-1.05363,0.163277
3.07022,1.05363,0.163277
-6.49993,-0.693962,-0.748535
-7.07498,-0.393008,-0.495246
1.20879,-0.467365,0.922276
-7.07496,-0.40345,-0.684268
3.18026,-4.55009,-0.921939
3.03825,-4.3341,-0.811319
2.70025,-4.3341,-0.94794
3.80426,-4.6821,-0.93896
0.840214,2.48005,-1.05031
3.03825,4.3341,-0.811319
2.70025,4.3341,-0.94794
4.40028,-4.6821,-0.95294
3.73929,-4.3341,-0.876958
3.18026,4.55009,-0.921939
0.840214,-2.48005,-1.05031
1.20924,-1.08002,-0.636414
0.169216,-1.99004,-1.06328
1.20924,1.08002,-0.636414
0.169216,1.99004,-1.06328
3.73929,4.3341,-0.876958
3.80426,4.6821,-0.93896
4.40028,4.6821,-0.95294
1.20924,-1.08002,-1.32162
2.98325,-1.08002,-1.35165
