x,y,z
0.0,-1.61803,2.4899
0.0,-1.61803,-2.4899
0.0,1.61803,2.4899
0.0,1.61803,-2.4899
0.425325,-2.92705,0.262866
0.425325,2.92705,0.262866
0.688191,-2.11803,1.96417
0.688191,2.11803,1.96417
-2.75276,0.0,-1.11352
-2.06457,-2.11803,0.262866
-2.06457,2.11803,0.262866
-1.37638,-2.61803,-0.262866
-1.37638,2.61803,-0.262866
-0.688191,-2.11803,-1.96417
-0.688191,2.11803,-1.96417
1.37638,-2.61803,0.262866
1.37638,2.61803,0.262866
2.75276,0.0,1.11352
1.80171,-1.30902,-1.96417
1.80171,1.30902,-1.96417
2.06457,-2.11803,-0.262866
2.06457,2.11803,-0.262866
2.22703,0.0,1.96417
2.22703,-1.61803,-1.11352
2.22703,1.61803,-1.11352
-2.65236,-1.30902,0.262866
-2.65236,1.30902,0.262866
2.65236,-1.30902,-0.262866
2.65236,1.30902,-0.262866
2.91522,-0.5,0.262866
2.91522,0.5,0.262866
-2.91522,-0.5,-0.262866
-2.91522,0.5,-0.262866
0.951057,-1.30902,2.4899
0.951057,-1.30902,-2.4899
0.951057,1.30902,2.4899
0.951057,1.30902,-2.4899
0.850651,-2.61803,1.11352
0.850651,2.61803,1.11352
-0.951057,-1.30902,2.4899
-0.951057,-1.30902,-2.4899
-0.951057,1.30902,2.4899
-0.951057,1.30902,-2.4899
-1.53884,-0.5,2.4899
-1.53884,-0.5,-2.4899
-1.53884,0.5,2.4899
-1.53884,0.5,-2.4899
1.53884,-0.5,2.4899
1.53884,-0.5,-2.4899
1.53884,0.5,2.4899
1.53884,0.5,-2.4899
-2.22703,0.0,-1.96417
-2.22703,-1.61803,1.11352
-2.22703,1.61803,1.11352
-0.850651,-2.61803,-1.11352
-0.850651,2.61803,-1.11352
-1.80171,-1.30902,1.96417
-1.80171,1.30902,1.96417
-0.425325,-2.92705,-0.262866
-0.425325,2.92705,-0.262866
