x,y,z
-0.16246,-2.11803,1.27598
-0.16246,2.11803,1.27598
0.16246,-2.11803,-1.27598
0.16246,2.11803,-1.27598
-0.262866,-0.809017,-2.32744
-0.262866,-2.42705,-0.425325
-0.262866,0.809017,-2.32744
-0.262866,2.42705,-0.425325
0.262866,-0.809017,2.32744
0.262866,-2.42705,0.425325
0.262866,0.809017,2.32744
0.262866,2.42705,0.425325
0.688191,-0.5,-2.32744
0.688191,0.5,-2.32744
1.21392,-2.11803,0.425325
1.21392,2.11803,0.425325
-2.06457,-0.5,1.27598
-2.06457,0.5,1.27598
-1.37638,-1.0,1.80171
-1.37638,1.0,1.80171
-1.37638,-1.61803,-1.27598
-1.37638,1.61803,-1.27598
-0.688191,-0.5,2.32744
-0.688191,0.5,2.32744
1.37638,-1.0,-1.80171
1.37638,1.0,-1.80171
1.37638,-1.61803,1.27598
1.37638,1.61803,1.27598
-1.7013,0.0,-1.80171
1.7013,0.0,1.80171
-1.21392,-2.11803,-0.425325
-1.21392,2.11803,-0.425325
-1.96417,-0.809017,-1.27598
-1.96417,0.809017,-1.27598
2.06457,-0.5,-1.27598
2.06457,0.5,-1.27598
2.22703,-1.0,-0.425325
2.22703,1.0,-0.425325
2.38949,-0.5,0.425325
2.38949,0.5,0.425325
-1.11352,-1.80902,1.27598
-1.11352,1.80902,1.27598
1.11352,-1.80902,-1.27598
1.11352,1.80902,-1.27598
-2.38949,-0.5,-0.425325
-2.38949,0.5,-0.425325
-1.63925,-1.80902,0.425325
-1.63925,1.80902,0.425325
1.63925,-1.80902,-0.425325
1.63925,1.80902,-0.425325
1.96417,-0.809017,1.27598
1.96417,0.809017,1.27598
0.850651,0.0,2.32744
-2.22703,-1.0,0.425325
-2.22703,1.0,0.425325
-0.850651,0.0,-2.32744
-0.525731,-1.61803,-1.80171
-0.525731,1.61803,-1.80171
0.525731,-1.61803,1.80171
0.525731,1.61803,1.80171
