x,y,z
1.41794,-1.49378,-2.54119
1.25933,-1.56334,-2.426
1.23612,-1.68612,-2.71117
1.40939,-1.61363,-2.86533
1.22499,-1.77651,-2.93859
1.39955,-1.68505,-3.10569
1.20229,-1.83335,-3.14527
1.37998,-1.73877,-3.36611
1.10631,-1.97424,-3.59068
1.33427,-1.83982,-3.71645
1.00277,-2.05247,-4.05768
1.23217,-1.91564,-4.12133
0.921851,-2.10201,-4.499
1.14948,-1.94974,-4.5219
0.821686,-2.10992,-4.94865
1.05567,-1.93454,-4.96905
1.05567,-1.93454,-4.96905
0.821686,-2.10992,-4.94865
0.749451,-2.10193,-5.28247
0.942787,-1.94435,-5.31055
0.665033,-2.06783,-4.94927
0.606929,-2.04422,-5.25841
0.749451,-2.10193,-5.28247
0.790397,-2.07039,-4.47157
0.871066,-2.02068,-4.03022
1.10631,-1.97424,-3.59068
1.01133,-1.93214,-3.54846
0.871066,-2.02068,-4.03022
1.00277,-2.05247,-4.05768
1.20229,-1.83335,-3.14527
1.15558,-1.81447,-3.10934
1.22499,-1.77651,-2.93859
1.17524,-1.70508,-2.84886
1.23612,-1.68612,-2.71117
1.17032,-1.62535,-2.68354
1.64917,-1.4251,-3.1536
1.72545,-1.2981,-2.90186
1.9159,-1.32934,-3.34091
1.97488,-1.26117,-3.12689
2.24666,-1.32377,-3.43634
2.29049,-1.27963,-3.3403
2.53499,-1.34751,-3.50239
2.14061,-1.47283,-3.7279
2.31725,-1.49727,-3.85704
1.58407,-1.52363,-3.39449
2.01305,-1.42843,-3.66831
2.01025,-1.44944,-3.71714
2.07678,-1.49576,-3.80439
2.12238,-1.50638,-3.82396
1.98634,-1.51437,-3.83265
1.96121,-1.53128,-3.86446
1.66833,-1.4673,-3.51508
1.68245,-1.45163,-3.49069
1.5482,-1.58131,-3.50073
1.59724,-1.528,-3.53477
1.6089,-1.55122,-3.66178
1.61788,-1.53435,-3.61387
1.83559,-1.43531,-3.58952
1.81218,-1.4343,-3.62655
1.98803,-1.48513,-3.76716
1.7985,-1.451,-3.64352
1.65515,-1.49146,-3.55615
1.79041,-1.47105,-3.66886
1.7871,-1.48456,-3.69388
1.76308,-1.50974,-3.74205
2.23169,-1.56226,-4.0151
2.06016,-1.53897,-3.90976
1.87368,-1.61451,-4.20204
2.04568,-1.64411,-4.33921
1.52912,-1.61282,-3.61163
1.50273,-1.68855,-3.88256
1.42288,-1.75181,-4.1948
1.33883,-1.77642,-4.5861
1.21936,-1.76541,-5.0014
0.942787,-1.94435,-5.31055
1.10419,-1.7864,-5.30578
1.2238,-1.72705,-5.32761
1.32124,-1.70172,-5.03707
1.48136,-1.69494,-4.6141
1.58681,-1.6843,-4.32605
1.65937,-1.6147,-4.02769
1.7707,-1.6597,-4.44099
1.95785,-1.64845,-4.53521
1.65283,-1.68483,-4.68421
1.85086,-1.66662,-4.73928
1.46059,-1.6634,-5.0784
1.63156,-1.64583,-5.1244
1.38763,-1.66987,-5.35259
1.49974,-1.63134,-5.39231
1.32626,-1.41326,-2.15509
1.48577,-1.37387,-2.25112
1.54532,-1.1274,-1.78182
1.71036,-1.11349,-2.03576
2.05093,-0.82876,-1.83166
1.70297,-0.875829,-1.47887
2.03531,-0.521232,-1.27227
1.8831,-0.712727,-1.37439
2.28863,-0.611225,-1.64599
2.39541,-0.447712,-1.41406
2.50985,-0.206504,-0.986878
2.20863,-0.257252,-0.922418
2.63986,-0.958418,-2.43832
2.72573,-0.497114,-1.88675
2.76451,-0.284429,-1.59014
2.83174,-0.044976,-1.09889
1.77547,-1.2581,-2.80676
1.65553,-1.29957,-2.68236
2.03363,-1.07411,-2.70392
1.88052,-1.1125,-2.5696
1.8396,-1.04494,-2.21885
2.05629,-1.20877,-3.00126
2.38479,-1.26392,-3.21257
2.35695,-1.54487,-4.12036
2.4598,-1.4832,-3.95588
2.17801,-1.63294,-4.43026
2.07584,-1.6468,-4.61886
1.97144,-1.64909,-4.81331
1.78291,-1.64209,-5.17906
1.66282,-1.62869,-5.42445
2.72247,-1.29753,-3.52185
2.32052,-0.13977,-0.635532
2.57215,-0.062678,-0.716555
2.86631,0.133476,-0.799157
2.29246,0.109027,-0.14507
2.44317,0.31526,-0.179462
2.7309,0.543768,-0.264831
2.45884,0.795894,0.001204
2.29206,0.573476,0.126813
2.19215,0.366311,0.196353
2.32133,0.986568,0.143332
2.20423,0.793519,0.285265
2.08651,0.602341,0.412325
1.9795,1.05294,0.526511
1.90133,0.887785,0.677905
2.11928,1.29634,0.374709
2.4044,1.03476,0.114204
2.18231,1.35978,0.325784
2.48932,0.860502,-0.022626
2.73506,0.600112,-0.303741
2.97215,0.018465,-1.12136
2.97992,0.19607,-0.812304
2.92242,-0.25741,-1.64167
2.8735,-0.473403,-1.93057
2.37513,1.14444,0.046336
2.17234,1.42252,0.226998
2.49116,1.00592,-0.102854
2.79651,0.688888,-0.410669
2.99026,0.298409,-0.891358
3.00345,0.126238,-1.20847
2.62674,1.17623,-0.141303
3.30573,1.10624,-0.660061
3.18975,1.21141,-0.546391
3.49815,0.915226,-0.805415
3.5983,0.58061,-1.11135
3.59493,0.426668,-1.30943
2.9606,-0.127997,-1.71862
2.89283,-0.309357,-2.04019
3.56163,0.127527,-1.80325
3.57252,-0.073111,-2.19329
2.72394,-0.991446,-2.59392
2.10163,-0.955989,-2.77656
1.95277,-0.870612,-2.425
2.03363,-1.07411,-2.70392
1.65553,-1.29957,-2.68236
1.81081,-1.09906,-2.78696
2.10163,-0.955989,-2.77656
1.81081,-1.09906,-2.78696
2.07927,-1.06956,-2.97559
2.41962,-1.0484,-3.20046
2.75858,-1.03498,-3.52641
2.72247,-1.29753,-3.52185
2.4598,-1.4832,-3.95588
2.41467,-1.17844,-4.0115
2.75858,-1.03498,-3.52641
2.35695,-1.54487,-4.12036
2.32445,-1.22048,-4.1816
2.17801,-1.63294,-4.43026
2.17363,-1.31084,-4.47798
2.07584,-1.6468,-4.61886
2.08824,-1.34862,-4.63231
