v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
1,2,3,4,0,0,0,0,0,0,0,0,0
4,3,5,6,0,0,0,0,0,0,0,0,0
6,5,7,8,0,0,0,0,0,0,0,0,0
8,7,9,10,0,0,0,0,0,0,0,0,0
10,9,11,12,0,0,0,0,0,0,0,0,0
12,11,13,14,0,0,0,0,0,0,0,0,0
14,13,15,16,0,0,0,0,0,0,0,0,0
17,18,19,20,0,0,0,0,0,0,0,0,0
15,21,22,23,0,0,0,0,0,0,0,0,0
13,24,21,15,0,0,0,0,0,0,0,0,0
11,25,24,13,0,0,0,0,0,0,0,0,0
26,27,28,29,0,0,0,0,0,0,0,0,0
30,31,27,26,0,0,0,0,0,0,0,0,0
32,33,31,30,0,0,0,0,0,0,0,0,0
34,35,33,32,0,0,0,0,0,0,0,0,0
1,4,36,37,0,0,0,0,0,0,0,0,0
37,36,38,39,0,0,0,0,0,0,0,0,0
39,38,40,41,0,0,0,0,0,0,0,0,0
42,40,43,44,0,0,0,0,0,0,0,0,0
36,4,6,45,0,0,0,0,0,0,0,0,0
46,47,48,49,0,0,0,0,0,0,0,0,0
48,50,51,49,0,0,0,0,0,0,0,0,0
52,53,54,55,0,0,0,0,0,0,0,0,0
55,54,56,57,0,0,0,0,0,0,0,0,0
46,58,59,47,0,0,0,0,0,0,0,0,0
58,53,52,59,0,0,0,0,0,0,0,0,0
60,47,59,61,0,0,0,0,0,0,0,0,0
61,59,52,62,0,0,0,0,0,0,0,0,0
60,63,64,50,0,0,0,0,0,0,0,0,0
63,62,57,64,0,0,0,0,0,0,0,0,0
57,56,65,64,0,0,0,0,0,0,0,0,0
64,65,51,50,0,0,0,0,0,0,0,0,0
60,61,62,63,0,0,0,0,0,0,0,0,0
66,67,68,69,0,0,0,0,0,0,0,0,0
70,8,10,71,0,0,0,0,0,0,0,0,0
71,10,12,72,0,0,0,0,0,0,0,0,0
72,12,14,73,0,0,0,0,0,0,0,0,0
73,14,16,74,0,0,0,0,0,0,0,0,0
74,16,75,76,0,0,0,0,0,0,0,0,0
76,77,78,74,0,0,0,0,0,0,0,0,0
74,78,79,73,0,0,0,0,0,0,0,0,0
73,79,80,72,0,0,0,0,0,0,0,0,0
72,80,81,71,0,0,0,0,0,0,0,0,0
81,80,82,68,0,0,0,0,0,0,0,0,0
68,82,83,69,0,0,0,0,0,0,0,0,0
83,82,84,85,0,0,0,0,0,0,0,0,0
85,84,86,87,0,0,0,0,0,0,0,0,0
