date,monetary_gold,foreign_exchange_reserves,gold,silver,platinum,palladium,dual_currency_basket,EUR_978,USD_840,JPY_392,CNY_156,INR_356,BRL_986
2012-01-11,44697,453952,1667.25,29.56,1495.09,648.66,35.8717,40.7591,31.8729,0.414931,5.04805,0.609978,17.3884
2012-01-12,44697,453952,1671.87,30.25,1512.93,653.06,35.6115,40.4061,31.6886,0.411968,5.01576,0.613318,17.6077
2012-01-13,44697,453952,1683.17,30.36,1527.84,652.9,35.5527,40.2852,31.6807,0.411999,5.01467,0.611597,17.5711
2012-01-14,44697,453952,1667.31,31.05,1505.86,641.74,35.6492,40.6189,31.583,0.411585,5.00507,0.614904,17.7632
2012-01-17,44697,453952,1687.4,30.43,1528.78,657.1,35.7368,40.3842,31.9344,0.41584,5.05843,0.620387,17.8914
2012-01-18,44697,453952,1685.56,30.32,1547.64,662.26,35.4254,40.1688,31.5445,0.411781,4.99794,0.617944,17.6621
2012-01-19,44697,453952,1680.4,30.84,1533.36,658.17,35.4661,40.2612,31.5428,0.411276,4.99823,0.622207,17.6414
2012-01-20,44697,453952,1684.02,30.51,1555.49,678.57,35.5275,40.4772,31.4777,0.41032,4.98254,0.624712,17.8172
2012-01-21,44697,453952,1655.76,30.97,1515.93,671.96,35.4724,40.5867,31.2879,0.40552,4.94514,0.621593,17.7218
2012-01-24,44697,453952,1687.33,30.58,1551.34,684.0,35.4158,40.4064,31.3325,0.406599,4.94672,0.623719,17.8553
2012-01-25,44697,453952,1656.75,32.21,1538.62,674.02,35.0656,40.1872,30.8752,0.400873,4.87452,0.617628,17.5717
2012-01-26,44697,453952,1635.72,31.5,1528.25,667.5,34.8443,39.9499,30.667,0.393671,4.84165,0.613064,17.4393
2012-01-27,44697,453952,1672.05,30.91,1558.83,679.36,34.6253,39.8384,30.36,0.391212,4.79318,0.607869,17.2451
2012-01-28,44697,453952,1680.98,32.56,1574.58,668.68,34.6023,39.7841,30.3626,0.393553,4.79359,0.612767,17.3451
2012-01-31,44697,453952,1679.63,32.68,1562.97,664.82,34.6867,39.9691,30.3647,0.395967,4.80219,0.612871,17.4761
2012-02-01,48841,456550,1693.83,32.34,1584.68,676.36,34.6577,39.9678,30.3131,0.397393,4.80109,0.611521,17.3406
2012-02-02,48841,456550,1704.93,32.85,1574.91,677.47,34.5787,39.6777,30.4067,0.399326,4.8211,0.6131,17.3842
2012-02-03,48841,456550,1695.92,32.8,1571.22,673.52,34.4969,39.7664,30.1855,0.397308,4.79181,0.615277,17.415
2012-02-04,48841,456550,1710.57,32.73,1585.64,690.25,34.5153,39.7425,30.2385,0.396909,4.79611,0.618121,17.5846
2012-02-07,48841,456550,1668.91,32.98,1564.91,674.56,34.409,39.5137,30.2324,0.394499,4.78914,0.620508,17.6169
2012-02-08,48841,456550,1663.79,32.42,1569.96,679.06,34.3045,39.4592,30.0871,0.392347,4.77111,0.615971,17.4256
2012-02-09,48841,456550,1663.96,31.77,1574.22,673.98,34.0663,39.4115,29.693,0.385148,4.71564,0.604684,17.1984
2012-02-10,48841,456550,1653.66,32.8,1588.77,681.31,34.0882,39.4767,29.6795,0.384449,4.715,0.601896,17.2405
2012-02-11,48841,456550,1648.7,32.48,1583.83,674.66,34.2735,39.6282,29.8923,0.384888,4.74699,0.601939,17.4157
2012-02-14,48841,456550,1659.47,32.24,1597.97,675.51,34.2597,39.6037,29.8873,0.385146,4.74575,0.606479,17.3683
2012-02-15,48841,456550,1664.74,32.73,1581.56,666.48,34.3421,39.5431,30.0868,0.385877,4.77546,0.609934,17.528
2012-02-16,48841,456550,1661.18,32.26,1572.12,662.35,34.2249,39.4572,29.944,0.38172,4.75362,0.607938,17.3982
2012-02-17,48841,456550,1666.69,32.72,1565.68,659.49,34.3085,39.3181,30.2098,0.38501,4.79308,0.611349,17.4724
2012-02-18,48841,456550,1670.45,32.0,1578.83,670.3,34.2221,39.3846,29.9982,0.37898,4.76283,0.60962,17.4764
2012-02-21,48841,456550,1655.94,32.06,1577.9,663.52,34.0783,39.3311,29.7805,0.37488,4.72811,0.605541,17.3354
2012-02-22,48841,456550,1663.07,32.13,1596.05,671.16,34.1644,39.5235,29.7796,0.373295,4.7288,0.606312,17.3349
2012-02-23,48841,456550,1679.47,32.21,1620.37,680.5,34.1082,39.4114,29.7692,0.372278,4.72835,0.60493,17.3329
