x,y,z
-61.3269,28.8722,246.691
-61.3238,28.8722,247.051
-61.348,28.8722,246.723
55.7826,28.8722,246.723
55.7585,28.8722,247.051
55.7615,28.8722,246.691
55.7313,28.8722,212.172
55.7585,28.8722,211.848
55.7585,28.8722,212.165
-61.3238,28.8722,212.165
-61.3238,28.8722,211.848
-61.2967,28.8722,212.172
-61.4265,28.8722,245.824
-61.3088,28.8722,245.708
55.861,28.8722,245.824
55.7434,28.8722,245.708
-61.5835,28.8722,244.477
-61.2302,28.8722,244.247
56.018,28.8722,244.477
55.6649,28.8722,244.247
-61.342,28.8722,213.037
-61.2092,28.8722,213.061
55.7766,28.8722,213.037
55.6437,28.8722,213.061
-61.8309,28.8722,242.808
-61.0583,28.8722,242.452
56.2625,28.8722,242.808
55.4898,28.8722,242.452
55.852,28.8722,214.344
55.4838,28.8722,214.393
-61.4174,28.8722,214.344
-61.0493,28.8722,214.393
-61.5835,28.8722,215.97
-60.8077,28.8722,216.046
56.018,28.8722,215.97
55.2424,28.8722,216.046
-62.1871,28.8722,240.941
-60.7474,28.8722,240.468
56.6216,28.8722,240.941
55.1819,28.8722,240.468
68.4953,28.8722,228.42
68.8575,28.8722,229.23
68.4953,28.8722,230.123
56.3078,28.8722,217.794
54.9073,28.8722,217.894
-61.8732,28.8722,217.794
-60.4727,28.8722,217.894
-62.6699,28.8722,239.002
-60.2645,28.8722,238.439
57.1046,28.8722,239.002
54.6991,28.8722,238.439
67.5898,28.8722,227.663
67.5898,28.8722,230.975
66.4158,28.8722,227.002
66.4158,28.8722,231.733
65.2386,28.8722,226.477
65.2386,28.8722,232.341
64.3362,28.8722,226.132
64.3362,28.8722,232.745
63.974,28.8722,226.007
63.974,28.8722,232.892
63.8291,28.8722,232.892
63.8261,28.8722,226.007
63.4126,28.8722,232.892
63.4096,28.8722,226.007
62.7607,28.8722,232.892
62.7546,28.8722,226.007
61.9065,28.8722,232.892
61.8945,28.8722,226.007
60.8803,28.8722,232.892
60.8652,28.8722,226.007
59.7183,28.8722,232.892
59.6942,28.8722,226.007
56.7605,28.8722,219.698
54.4697,28.8722,219.818
-62.326,28.8722,219.698
-60.0381,28.8722,219.818
-73.8252,28.8722,230.521
-74.1693,28.8722,229.451
-73.8252,28.8722,228.38
-63.0985,28.8722,237.673
57.5331,28.8722,237.673
-72.9681,28.8722,231.386
-72.9681,28.8722,227.514
-71.8544,28.8722,232.051
-71.8544,28.8722,226.849
-70.7407,28.8722,232.521
-70.7407,28.8722,226.378
-69.8836,28.8722,232.8
-69.8836,28.8722,226.099
-69.5395,28.8722,232.892
-69.5395,28.8722,226.007
-69.3946,28.8722,226.007
-69.3946,28.8722,232.892
-68.9781,28.8722,232.892
-68.975,28.8722,226.007
-68.3291,28.8722,232.892
-68.3201,28.8722,226.007
-67.4719,28.8722,232.892
-67.463,28.8722,226.007
-66.4487,28.8722,232.892
-66.4306,28.8722,226.007
-65.2838,28.8722,232.892
-65.2627,28.8722,226.007
-59.8359,28.8722,237.206
54.2675,28.8722,237.206
57.2133,28.8722,221.067
54.0561,28.8722,221.179
-62.7816,28.8722,221.067
-59.6246,28.8722,221.179
58.0161,28.8722,236.411
-63.5814,28.8722,236.411
-59.3107,28.8722,236.049
53.7422,28.8722,236.049
-63.3159,28.8722,222.369
-59.1266,28.8722,222.47
57.7504,28.8722,222.369
53.5582,28.8722,222.47
58.5171,28.8722,235.26
-64.0855,28.8722,235.26
-64.9035,28.8722,225.424
-64.9759,28.8722,233.458
59.338,28.8722,225.424
59.4104,28.8722,233.458
58.8612,28.8722,224.593
58.997,28.8722,234.262
-64.4266,28.8722,224.593
-64.5624,28.8722,234.262
53.1779,28.8722,235.003
58.3149,28.8722,223.559
52.6256,28.8722,234.104
53.027,28.8722,223.644
52.5108,28.8722,224.655
52.0641,28.8722,225.458
52.1396,28.8722,233.388
51.7383,28.8722,226.007
51.7775,28.8722,232.892
42.9673,28.8722,232.892
42.9401,28.8722,226.007
22.9052,28.8722,232.892
22.8902,28.8722,226.007
-2.78268,28.8722,232.892
-2.78268,28.8722,226.007
-28.4706,28.8722,232.892
-28.4556,28.8722,226.007
-48.5056,28.8722,226.007
-48.5327,28.8722,232.892
-57.3036,28.8722,226.007
-57.3428,28.8722,232.892
-57.7051,28.8722,233.388
-57.6326,28.8722,225.458
-58.191,28.8722,234.104
-58.0793,28.8722,224.655
-58.7433,28.8722,235.003
-58.5924,28.8722,223.644
-63.8803,28.8722,223.559
-57.6326,32.0383,225.458
-57.3036,32.0383,226.007
-58.0793,32.0383,224.655
-58.5924,32.0383,223.644
-59.1266,32.0383,222.47
-59.6246,32.0383,221.179
-60.0381,32.0383,219.818
-60.4727,32.0383,217.894
-60.8077,32.0383,216.046
-61.0493,32.0383,214.393
-61.2092,32.0383,213.061
-61.2967,32.0383,212.172
-61.3238,32.0383,211.848
-61.3238,32.0383,212.165
-61.342,32.0383,213.037
-61.4174,32.0383,214.344
-61.5835,32.0383,215.97
-61.8732,32.0383,217.794
-62.326,32.0383,219.698
-62.7816,32.0383,221.067
-63.3159,32.0383,222.369
-63.8803,32.0383,223.559
-64.4266,32.0383,224.593
-64.9035,32.0383,225.424
-65.2596,32.0383,226.007
-66.4306,32.0383,226.007
-67.463,32.0383,226.007
-68.3201,32.0383,226.007
-68.975,32.0383,226.007
-69.3946,32.0383,226.007
-69.5395,32.0383,226.007
-69.8836,32.0383,226.099
-70.7407,32.0383,226.378
-71.8544,32.0383,226.849
-72.9681,32.0383,227.514
-73.8252,32.0383,228.38
-74.1693,32.0383,229.451
-73.8252,32.0383,230.521
-72.9681,32.0383,231.386
-71.8544,32.0383,232.051
-70.7407,32.0383,232.521
-69.8836,32.0383,232.8
-69.5395,32.0383,232.892
-69.3946,32.0383,232.892
-68.9781,32.0383,232.892
-68.3291,32.0383,232.892
-67.4719,32.0383,232.892
-66.4487,32.0383,232.892
-65.2838,32.0383,232.892
-64.9759,32.0383,233.458
-64.5624,32.0383,234.262
-64.0855,32.0383,235.26
-63.5814,32.0383,236.411
-63.0985,32.0383,237.673
-62.6699,32.0383,239.002
-62.1871,32.0383,240.941
-61.8309,32.0383,242.808
-61.5835,32.0383,244.477
-61.4265,32.0383,245.824
-61.348,32.0383,246.723
-61.3238,32.0383,247.051
-61.3269,32.0383,246.691
-61.3088,32.0383,245.708
-61.2302,32.0383,244.247
-61.0583,32.0383,242.452
-60.7474,32.0383,240.468
-60.2645,32.0383,238.439
-59.8359,32.0383,237.206
-59.3107,32.0383,236.049
-58.7433,32.0383,235.003
-58.191,32.0383,234.104
-57.7051,32.0383,233.388
-57.3428,32.0383,232.892
-48.5327,32.0383,232.892
-28.4706,32.0383,232.892
-2.78268,32.0383,232.892
22.9052,32.0383,232.892
42.9673,32.0383,232.892
51.7775,32.0383,232.892
52.1396,32.0383,233.388
52.6256,32.0383,234.104
53.1779,32.0383,235.003
53.7422,32.0383,236.049
54.2675,32.0383,237.206
54.6991,32.0383,238.439
55.1819,32.0383,240.468
55.4898,32.0383,242.452
55.6649,32.0383,244.247
55.7434,32.0383,245.708
55.7615,32.0383,246.691
55.7585,32.0383,247.051
55.7826,32.0383,246.723
55.861,32.0383,245.824
56.018,32.0383,244.477
56.2625,32.0383,242.808
56.6216,32.0383,240.941
57.1046,32.0383,239.002
57.5331,32.0383,237.673
58.0161,32.0383,236.411
58.5171,32.0383,235.26
58.997,32.0383,234.262
59.4104,32.0383,233.458
59.7183,32.0383,232.892
60.8803,32.0383,232.892
61.9065,32.0383,232.892
62.7607,32.0383,232.892
63.4126,32.0383,232.892
63.8291,32.0383,232.892
63.974,32.0383,232.892
64.3362,32.0383,232.745
65.2386,32.0383,232.341
66.4158,32.0383,231.733
67.5898,32.0383,230.975
68.4953,32.0383,230.123
68.8575,32.0383,229.23
68.4953,32.0383,228.42
67.5898,32.0383,227.663
66.4158,32.0383,227.002
65.2386,32.0383,226.477
64.3362,32.0383,226.132
63.974,32.0383,226.007
63.8261,32.0383,226.007
63.4096,32.0383,226.007
62.7546,32.0383,226.007
61.8945,32.0383,226.007
60.8652,32.0383,226.007
59.6942,32.0383,226.007
59.338,32.0383,225.424
58.8612,32.0383,224.593
58.3149,32.0383,223.559
57.7504,32.0383,222.369
57.2133,32.0383,221.067
56.7605,32.0383,219.698
56.3078,32.0383,217.794
56.018,32.0383,215.97
55.852,32.0383,214.344
55.7766,32.0383,213.037
55.7585,32.0383,212.165
55.7585,32.0383,211.848
55.7313,32.0383,212.172
55.6437,32.0383,213.061
55.4838,32.0383,214.393
55.2424,32.0383,216.046
54.9073,32.0383,217.894
54.4697,32.0383,219.818
54.0561,32.0383,221.179
53.5582,32.0383,222.47
53.027,32.0383,223.644
52.5108,32.0383,224.655
52.0641,32.0383,225.458
51.7383,32.0383,226.007
42.9401,32.0383,226.007
22.8902,32.0383,226.007
-2.78268,32.0383,226.007
-28.4556,32.0383,226.007
-48.5056,32.0383,226.007
55.7192,24.4023,229.533
54.9858,24.7916,230.464
55.2785,24.7916,228.433
54.5391,25.8087,231.029
54.038,25.353,229.29
55.0099,25.8087,227.764
54.5572,27.0583,231.009
54.1015,27.4839,229.93
54.2795,27.4839,228.695
55.022,27.0583,227.789
56.8903,24.7916,229.701
56.7695,25.353,228.197
57.6025,25.8087,229.804
56.184,27.4839,227.933
57.1649,27.4839,228.704
57.5784,27.0583,229.8
56.35,25.353,231.11
56.8722,27.4839,230.735
55.7131,27.4839,231.198
55.4627,28.341,229.858
48.3216,24.4023,229.533
47.5882,24.7916,230.464
47.8809,24.7916,228.433
47.1415,25.8087,231.029
46.6374,25.353,229.29
47.6122,25.8087,227.764
47.1595,27.0583,231.009
46.7038,27.4839,229.93
46.8789,27.4839,228.695
47.6214,27.0583,227.789
49.4926,24.7916,229.701
49.3719,25.353,228.197
50.205,25.8087,229.804
48.7864,27.4839,227.933
49.7643,27.4839,228.704
50.1777,27.0583,229.8
48.9525,25.353,231.11
49.4715,27.4839,230.735
48.3155,27.4839,231.198
48.065,28.341,229.858
39.8132,24.4023,229.533
39.0798,24.7916,230.464
39.3726,24.7916,228.433
38.6331,25.8087,231.029
38.1322,25.353,229.29
39.1039,25.8087,227.764
38.6512,27.0583,231.009
38.1955,27.4839,229.93
38.3736,27.4839,228.695
39.116,27.0583,227.789
40.9843,24.7916,229.701
40.8636,25.353,228.197
41.6967,25.8087,229.804
40.2781,27.4839,227.933
41.259,27.4839,228.704
41.6725,27.0583,229.8
40.444,25.353,231.11
40.9661,27.4839,230.735
39.8072,27.4839,231.198
39.5567,28.341,229.858
30.5654,24.4023,229.533
29.8321,24.7916,230.464
30.1248,24.7916,228.433
29.3854,25.8087,231.029
28.8843,25.353,229.29
29.8563,25.8087,227.764
29.4035,27.0583,231.009
28.9477,27.4839,229.93
29.1257,27.4839,228.695
29.8682,27.0583,227.789
31.7366,24.7916,229.701
31.6157,25.353,228.197
32.4488,25.8087,229.804
31.0302,27.4839,227.933
32.0111,27.4839,228.704
32.4247,27.0583,229.8
31.1963,25.353,231.11
31.7185,27.4839,230.735
30.5594,27.4839,231.198
30.309,28.341,229.858
20.9465,24.4023,229.533
20.213,24.7916,230.464
20.5059,24.7916,228.433
19.7693,25.8087,231.029
19.2653,25.353,229.29
20.2401,25.8087,227.764
19.7845,27.0583,231.009
19.3286,27.4839,229.93
19.5068,27.4839,228.695
20.2493,27.0583,227.789
22.1205,24.7916,229.701
21.9968,25.353,228.197
22.8329,25.8087,229.804
21.4113,27.4839,227.933
22.3922,27.4839,228.704
22.8056,27.0583,229.8
21.5773,25.353,231.11
22.0994,27.4839,230.735
20.9405,27.4839,231.198
20.6899,28.341,229.858
10.9592,24.4023,229.533
10.2258,24.7916,230.464
10.5185,24.7916,228.433
9.78208,25.8087,231.029
9.27806,25.353,229.29
10.2529,25.8087,227.764
9.79711,27.0583,231.009
9.34143,27.4839,229.93
9.51946,27.4839,228.695
10.2619,27.0583,227.789
12.1333,24.7916,229.701
12.0095,25.353,228.197
12.8455,25.8087,229.804
11.424,27.4839,227.933
12.4049,27.4839,228.704
12.8184,27.0583,229.8
11.5901,25.353,231.11
12.1122,27.4839,230.735
10.9531,27.4839,231.198
10.7026,28.341,229.858
0.971949,24.4023,229.533
0.238472,24.7916,230.464
0.531302,24.7916,228.433
-0.205123,25.8087,231.029
-0.70914,25.353,229.29
0.265735,25.8087,227.764
-0.190091,27.0583,231.009
-0.645769,27.4839,229.93
-0.467742,27.4839,228.695
0.274725,27.0583,227.789
2.14298,24.7916,229.701
2.02228,25.353,228.197
2.85833,25.8087,229.804
1.43676,27.4839,227.933
2.41768,27.4839,228.704
2.83121,27.0583,229.8
1.60271,25.353,231.11
2.12485,27.4839,230.735
0.965906,27.4839,231.198
0.715371,28.341,229.858
-9.01525,24.4023,229.533
-9.74873,24.7916,230.464
-9.4559,24.7916,228.433
-10.1925,25.8087,231.029
-10.6965,25.353,229.29
-9.72456,25.8087,227.764
-10.1773,27.0583,231.009
-10.6331,27.4839,229.93
-10.4549,27.4839,228.695
-9.71248,27.0583,227.789
-7.84422,24.7916,229.701
-7.96492,25.353,228.197
-7.12887,25.8087,229.804
-8.55044,27.4839,227.933
-7.56952,27.4839,228.704
-7.15614,27.0583,229.8
-8.38449,25.353,231.11
-7.86235,27.4839,230.735
-9.0213,27.4839,231.198
-9.27183,28.341,229.858
-19.3738,24.4023,229.533
-20.1042,24.7916,230.464
-19.8145,24.7916,228.433
-20.5509,25.8087,231.029
-21.0549,25.353,229.29
-20.08,25.8087,227.764
-20.5359,27.0583,231.009
-20.9916,27.4839,229.93
-20.8135,27.4839,228.695
-20.0711,27.0583,227.789
-18.1997,24.7916,229.701
-18.3235,25.353,228.197
-17.4875,25.8087,229.804
-18.909,27.4839,227.933
-17.9281,27.4839,228.704
-17.5146,27.0583,229.8
-18.7429,25.353,231.11
-18.2208,27.4839,230.735
-19.3799,27.4839,231.198
-19.6304,28.341,229.858
-30.4718,24.4023,229.533
-31.2022,24.7916,230.464
-30.9093,24.7916,228.433
-31.6489,25.8087,231.029
-32.1529,25.353,229.29
-31.178,25.8087,227.764
-31.6307,27.0583,231.009
-32.0895,27.4839,229.93
-31.9115,27.4839,228.695
-31.169,27.0583,227.789
-29.2977,24.7916,229.701
-29.4184,25.353,228.197
-28.5854,25.8087,229.804
-30.0039,27.4839,227.933
-29.0261,27.4839,228.704
-28.6125,27.0583,229.8
-29.8379,25.353,231.11
-29.3187,27.4839,230.735
-30.4747,27.4839,231.198
-30.7253,28.341,229.858
-40.8273,24.4023,229.533
-41.5606,24.7916,230.464
-41.2679,24.7916,228.433
-42.0043,25.8087,231.029
-42.5084,25.353,229.29
-41.5364,25.8087,227.764
-41.9892,27.0583,231.009
-42.445,27.4839,229.93
-42.267,27.4839,228.695
-41.5244,27.0583,227.789
-39.6561,24.7916,229.701
-39.7769,25.353,228.197
-38.9438,25.8087,229.804
-40.3625,27.4839,227.933
