date	palladium	platinum	gold
2012-01-11	648.66	1495.09	1667.25
2012-01-12	653.06	1512.93	1671.87
2012-01-13	652.9	1527.84	1683.17
2012-01-14	641.74	1505.86	1667.31
2012-01-17	657.1	1528.78	1687.4
2012-01-18	662.26	1547.64	1685.56
2012-01-19	658.17	1533.36	1680.4
2012-01-20	678.57	1555.49	1684.02
2012-01-21	671.96	1515.93	1655.76
2012-01-24	684.0	1551.34	1687.33
2012-01-25	674.02	1538.62	1656.75
2012-01-26	667.5	1528.25	1635.72
2012-01-27	679.36	1558.83	1672.05
2012-01-28	668.68	1574.58	1680.98
2012-01-31	664.82	1562.97	1679.63
2012-02-01	676.36	1584.68	1693.83
2012-02-02	677.47	1574.91	1704.93
2012-02-03	673.52	1571.22	1695.92
2012-02-04	690.25	1585.64	1710.57
2012-02-07	674.56	1564.91	1668.91
2012-02-08	679.06	1569.96	1663.79
2012-02-09	673.98	1574.22	1663.96
2012-02-10	681.31	1588.77	1653.66
2012-02-11	674.66	1583.83	1648.7
2012-02-14	675.51	1597.97	1659.47
2012-02-15	666.48	1581.56	1664.74
2012-02-16	662.35	1572.12	1661.18
2012-02-17	659.49	1565.68	1666.69
2012-02-18	670.3	1578.83	1670.45
2012-02-21	663.52	1577.9	1655.94
2012-02-22	671.16	1596.05	1663.07
2012-02-23	680.5	1620.37	1679.47
2012-02-25	678.86	1625.67	1683.9
2012-02-28	664.87	1591.94	1652.81
2012-02-29	658.99	1591.62	1651.89
2012-03-01	670.03	1611.61	1668.53
2012-03-02	662.93	1593.29	1620.6
2012-03-03	669.68	1602.15	1614.87
2012-03-06	664.82	1567.88	1598.95
2012-03-07	651.44	1545.28	1595.94
2012-03-08	643.72	1544.93	1604.53
2012-03-12	655.33	1571.84	1602.71
2012-03-13	673.38	1606.2	1626.47
2012-03-14	664.12	1610.96	1607.88
2012-03-15	663.24	1597.86	1576.99
2012-03-16	663.86	1597.83	1566.21
2012-03-17	661.66	1578.16	1556.45
2012-03-20	657.66	1570.88	1553.97
2012-03-21	653.56	1560.3	1545.77
2012-03-22	653.58	1553.2	1555.08
2012-03-23	637.48	1520.37	1538.23
2012-03-24	618.26	1536.2	1560.78
2012-03-27	621.21	1526.24	1558.19
2012-03-28	622.61	1545.83	1576.54
2012-03-29	611.55	1533.54	1568.14
2012-03-30	610.12	1545.07	1558.96
2012-03-31	612.9	1549.22	1565.96
2012-04-03	618.97	1543.66	1570.08
2012-04-04	620.67	1561.56	1577.34
2012-04-05	610.27	1539.38	1543.88
2012-04-06	605.57	1518.66	1535.22
2012-04-07	601.46	1507.91	1544.85
2012-04-10	605.04	1516.88	1554.04
2012-04-11	616.47	1534.99	1566.19
2012-04-12	610.37	1529.28	1584.86
2012-04-13	611.28	1515.36	1573.83
2012-04-14	614.94	1510.34	1582.83
2012-04-17	615.25	1503.21	1577.13
2012-04-18	622.21	1497.87	1574.1
2012-04-19	626.88	1502.23	1561.5
2012-04-20	627.18	1510.55	1557.99
2012-04-21	626.43	1496.78	1556.58
2012-04-24	633.3	1491.3	1547.23
2012-04-25	636.38	1473.53	1551.89
2012-04-26	630.13	1459.94	1545.88
2012-04-27	626.89	1467.45	1551.46
2012-04-28	632.86	1482.36	1564.66
2012-04-29	639.11	1484.96	1570.4
2012-05-03	637.4	1477.82	1560.44
2012-05-04	631.82	1474.88	1555.87
2012-05-05	624.63	1453.83	1550.4
2012-05-06	635.37	1466.25	1575.26
2012-05-11	596.92	1452.02	1543.26
2012-05-12	585.11	1425.83	1536.39
2012-05-13	587.02	1422.44	1535.96
2012-05-15	575.07	1411.89	1520.87
2012-05-16	583.13	1410.04	1520.22
2012-05-17	590.57	1420.15	1531.19
2012-05-18	600.86	1438.48	1538.95
2012-05-19	611.62	1471.53	1602.73
2012-05-22	618.09	1470.58	1593.05
