x,y,z
-0.0348115,-0.004995,-0.07575
-0.0350755,-0.00467,-0.076418
-0.0353885,-0.006674,-0.074962
-0.0364955,-0.007303,-0.076219
-0.0384285,-0.008489,-0.075943
-0.0405605,-0.008257,-0.076344
-0.0405115,0.001545,-0.076329
-0.0353835,-0.001685,-0.076366
-0.0456025,-0.00453,-0.076317
-0.0451665,-0.001368,-0.076372
-0.0370115,-0.007991,-0.075439
-0.0425665,0.001107,-0.076036
-0.0385855,0.001514,-0.075899
-0.0376095,0.001154,-0.07604
-0.0365645,0.00041,-0.076191
-0.0435505,-0.007614,-0.075912
-0.0346905,-0.002699,-0.075761
-0.0458345,-0.002077,-0.075573
-0.0354385,-0.000179,-0.074227
0.0776805,-0.003841,-0.076055
0.0820575,-0.008317,-0.076206
0.0812995,0.000809,-0.075723
0.0856815,-0.007557,-0.075862
0.0843675,-0.008184,-0.075521
0.0834165,0.001057,-0.075825
-0.0460375,-0.003104,-0.075548
-0.0454885,-0.005336,-0.075628
-0.0414345,-0.008481,-0.075513
-0.0445905,-0.006761,-0.075761
0.0789235,-0.000476,-0.075697
0.0878995,-0.002638,-0.075945
0.0877985,-0.005597,-0.075968
0.0883135,-0.0036,-0.075821
0.0622895,0.037626,-0.074773
0.0592655,0.034124,-0.074616
0.0678695,0.035556,-0.074727
0.0823915,-0.008528,-0.075378
0.0802435,-0.008176,-0.075288
0.0775605,-0.005855,-0.076087
0.0785255,-0.007139,-0.075801
0.0769035,-0.004941,-0.075554
-0.0404685,0.001719,-0.074919
-0.0389435,-0.008613,-0.075164
0.0865175,0.000174,-0.075631
0.0881055,-0.002375,-0.075155
-0.0113565,0.030443,-0.075765
-0.0176405,0.025729,-0.075697
-0.0117455,0.029544,-0.07599
0.0867915,-0.006854,-0.074071
-0.0139285,0.026031,-0.075563
-0.0122185,0.027387,-0.075705
0.0776025,-0.001828,-0.075357
-0.0420705,-0.007875,-0.074005
-0.0433175,0.00067,-0.075219
0.0818275,0.001612,-0.074837
-0.0369105,0.00122,-0.074019
0.0783415,-0.007047,-0.075122
-0.0220595,0.028746,-0.075471
-0.0210215,0.032769,-0.075346
-0.0455705,-0.002033,-0.074902
-0.0208705,0.026767,-0.075517
-0.0182905,0.03524,-0.075089
-0.0156425,0.03541,-0.075205
-0.0441535,-0.006745,-0.074411
-0.0204085,0.03376,-0.075057
0.0857365,0.001073,-0.075132
0.0804215,0.001045,-0.075256
-0.0154955,0.0255,-0.075265
0.0858425,-0.007497,-0.073625
-0.0182145,0.025465,-0.075141
-0.0136725,0.035447,-0.074769
-0.0111495,0.031464,-0.075563
0.0782135,-0.000721,-0.075177
0.0843205,0.001561,-0.074827
0.0795545,0.000565,-0.074781
0.0768855,-0.003909,-0.074833
-0.0209325,0.026856,-0.074792
-0.0222945,0.031629,-0.075072
-0.0225395,0.030326,-0.074608
0.0772715,-0.004817,-0.073983
-0.0400665,0.001646,-0.072861
0.0868345,0.000162,-0.074075
-0.0378665,-0.008117,-0.073901
-0.0344695,-0.002924,-0.074374
-0.0169345,0.035627,-0.074731
-0.0449805,-0.003033,-0.073574
-0.0215965,0.027719,-0.074806
-0.0185765,0.035186,-0.074433
-0.0192135,0.025898,-0.074567
-0.0409915,0.001235,-0.07273
-0.0112485,0.0289,-0.074535
-0.0132775,0.026155,-0.073951
-0.0206985,0.033595,-0.07442
-0.0424825,-0.000221,-0.072514
0.0881785,-0.004507,-0.074397
0.0877345,-0.00107,-0.073803
0.0639705,0.037903,-0.074814
0.0624205,0.038532,-0.073937
-0.0347365,-0.000124,-0.072918
-0.0343095,-0.001027,-0.072978
-0.0116345,0.033805,-0.07458
0.0859615,0.001077,-0.073607
-0.0146735,0.035627,-0.074961
-0.0109145,0.031931,-0.074712
0.0620835,0.02834,-0.075072
0.0642875,0.028138,-0.074897
0.0629605,0.027809,-0.074709
0.0827265,-0.00814,-0.073087
0.0589595,0.029275,-0.074856
-0.0124125,0.026906,-0.074372
-0.0390625,-0.008031,-0.073023
0.0676845,0.030598,-0.074916
0.0680855,0.031534,-0.074726
0.0886115,-0.002383,-0.072812
-0.0345315,-0.005845,-0.072955
0.0805095,0.000716,-0.073033
0.0605655,0.028096,-0.074199
0.0585805,0.029032,-0.074264
0.0682555,0.034503,-0.074588
0.0574765,0.030822,-0.074694
0.0574695,0.035418,-0.074594
0.0799115,-0.007249,-0.073193
-0.0381055,0.002079,-0.072426
0.0786855,-0.001759,-0.072839
-0.0134325,0.025717,-0.072606
0.0674795,0.036417,-0.072592
0.0847675,-0.007916,-0.073212
-0.0161675,0.025706,-0.073207
-0.0216875,0.03146,-0.073519
0.0592995,0.036145,-0.074557
0.0564425,0.033618,-0.074309
0.0874855,0.000171,-0.073152
-0.0111475,0.027418,-0.07329
0.0586335,0.03719,-0.074057
-0.0141535,0.035595,-0.072674
0.0567915,0.031638,-0.074204
0.0848585,0.001933,-0.072477
0.0857995,0.001678,-0.072197
0.0613435,0.038198,-0.074401
0.0570765,0.035393,-0.074002
0.0784015,-0.004577,-0.072151
-0.0447075,-0.002046,-0.073611
-0.0114105,0.033472,-0.073859
-0.0103275,0.031715,-0.073166
0.0646135,0.038313,-0.073768
-0.0129915,0.03513,-0.073221
0.0825625,0.001529,-0.073157
-0.0358205,-0.007272,-0.072096
0.0687515,0.032216,-0.072142
0.0685585,0.031173,-0.071489
0.0797595,-4.30001e-05,-0.072526
-0.0426935,-0.007141,-0.073203
-0.0415265,-0.007248,-0.072669
-0.0337875,-0.003864,-0.072358
-0.0104745,0.02919,-0.072867
-0.0185465,0.034316,-0.07239
0.0662235,0.028761,-0.074057
0.0667535,0.037244,-0.073644
0.0564635,0.033664,-0.073538
0.0689125,0.033806,-0.071282
0.0674455,0.030079,-0.072748
-0.0181105,0.026062,-0.073573
-0.0166945,0.035338,-0.07255
0.0868195,-0.007427,-0.072606
0.0567165,0.034417,-0.073414
-0.0195065,0.02748,-0.072936
-0.0207145,0.031357,-0.0726
0.0579125,0.031204,-0.072192
0.0621015,0.038424,-0.073302
0.0819845,0.001708,-0.071871
-0.0357165,0.001062,-0.072766
