v1,v2,v3
1,2,3
4,2,5
6,5,2
6,2,7
2,8,7
9,6,10
5,11,4
10,6,12
8,13,7
14,13,15
13,8,15
6,9,16
2,1,17
8,2,17
18,10,12
15,8,19
7,12,6
2,4,3
20,21,22
4,11,3
23,21,24
22,21,25
9,26,27
5,6,28
28,6,16
9,29,16
20,22,30
31,32,33
25,21,23
29,9,27
34,35,36
37,21,38
31,23,32
20,39,40
20,40,21
39,20,41
42,12,7
5,28,43
25,31,44
23,31,25
31,33,45
46,47,48
10,18,26
32,23,49
11,5,43
48,50,51
20,52,41
20,30,52
28,16,53
24,21,37
54,12,42
25,55,22
50,48,47
14,15,56
9,10,26
44,31,45
39,41,57
58,47,59
12,54,60
21,40,38
47,58,61
48,51,46
62,47,63
29,27,64
47,62,65
19,8,17
65,59,47
44,66,25
40,39,57
47,46,63
30,22,67
47,68,50
23,69,49
42,7,13
60,18,12
70,47,61
71,46,72
18,60,26
52,30,73
25,74,55
43,28,53
75,30,67
22,55,67
41,52,76
77,61,58
58,78,79
57,41,80
42,13,81
78,58,59
44,82,66
11,43,83
19,17,84
63,85,62
23,24,69
71,63,46
27,26,86
30,75,73
74,25,66
58,79,87
65,62,88
61,89,70
42,81,90
91,46,51
58,87,77
50,68,92
15,19,56
59,65,93
94,54,90
78,59,93
95,32,49
96,44,45
97,98,34
61,77,89
99,19,100
72,101,71
66,102,74
63,71,103
82,44,96
54,42,90
33,32,95
72,104,101
105,106,35
60,54,94
40,57,38
106,105,107
108,24,37
109,105,35
110,51,50
33,95,45
111,83,43
36,112,113
96,45,114
84,17,1
1,3,115
34,36,97
75,67,116
63,103,85
35,112,36
107,105,117
105,109,118
36,113,119
29,64,16
72,46,104
109,35,120
35,106,112
120,35,121
46,91,104
108,37,38
122,38,57
81,13,123
52,73,124
125,110,92
36,119,126
24,127,69
128,70,89
78,129,79
121,35,130
62,85,88
131,120,121
102,66,132
24,108,127
51,133,91
34,134,130
130,35,34
103,71,135
80,41,76
136,120,131
93,65,88
137,102,138
109,120,118
34,98,139
50,92,110
66,82,132
131,121,140
80,76,141
142,60,94
51,110,133
26,60,86
134,34,139
143,104,144
145,98,97
14,56,123
105,118,117
135,71,146
55,74,147
3,11,148
149,113,150
55,147,67
130,134,121
27,86,64
52,124,76
118,120,136
13,14,123
101,104,143
73,75,151
152,16,64
140,121,134
153,53,152
84,1,154
144,91,155
93,88,156
112,106,157
57,80,122
45,95,114
16,152,53
158,97,36
78,93,129
1,115,154
128,68,70
136,131,159
126,119,160
113,149,119
112,157,161
103,135,85
73,151,124
89,77,162
115,3,148
88,85,163
49,69,164
68,128,92
19,84,100
159,131,165
87,79,166
67,147,116
79,129,167
68,47,70
136,159,168
111,53,153
139,98,169
43,53,111
106,107,157
108,38,122
158,36,126
147,74,170
165,131,140
56,171,172
74,102,137
173,134,139
144,104,91
145,97,158
11,83,148
174,128,175
113,112,161
60,142,86
128,89,162
49,164,176
145,158,177
91,133,155
178,118,179
163,85,135
165,140,134
151,75,116
71,101,146
180,134,173
76,124,141
166,77,87
132,82,96
181,127,108
56,99,171
125,92,174
168,118,136
92,128,174
95,49,176
99,56,19
119,149,160
138,102,132
100,84,182
179,118,168
183,64,86
184,110,125
178,117,118
88,163,156
79,167,166
98,145,185
107,117,186
139,169,173
169,98,185
122,80,141
187,95,176
64,183,152
114,95,187
153,152,188
114,132,96
157,107,189
84,154,182
93,190,129
184,133,110
186,117,191
168,159,192
77,166,162
86,142,193
194,124,195
189,161,157
196,128,162
186,189,107
197,111,198
196,162,166
134,180,165
190,93,156
167,129,190
74,137,170
199,200,201
170,116,147
202,203,204
133,184,205
158,126,177
56,172,123
197,83,111
173,169,206
144,207,208
132,209,138
184,125,205
178,210,191
69,127,211
179,168,192
188,152,183
117,178,191
101,143,212
127,181,211
156,163,213
214,165,180
142,94,193
86,193,183
163,135,215
178,179,210
143,144,212
159,165,216
217,94,218
219,126,220
221,123,172
116,170,222
193,94,217
115,223,154
224,225,226
132,114,227
99,100,171
128,196,175
124,194,141
101,212,146
182,154,228
161,229,150
155,133,230
90,81,231
169,185,206
115,148,223
122,141,232
164,69,211
233,108,122
126,160,220
206,180,173
111,153,198
125,174,234
144,208,212
189,186,225
232,141,235
211,181,236
170,137,237
132,227,209
214,180,238
239,166,167
172,171,240
161,189,229
83,197,148
135,146,215
241,138,209
167,190,242
239,167,242
151,195,124
163,215,213
175,196,243
230,133,205
108,233,181
190,156,244
94,90,218
188,183,245
174,175,234
187,176,246
183,193,245
247,146,212
137,138,237
150,113,161
170,237,222
182,228,248
176,164,249
250,223,251
247,212,252
238,180,206
100,248,171
214,253,216
209,227,254
123,221,255
224,189,225
256,175,243
257,148,197
248,100,182
172,240,221
177,258,185
116,222,259
243,196,260
116,259,151
216,165,214
187,246,261
166,239,260
260,196,166
149,150,160
220,160,262
186,191,225
255,81,123
231,81,255
251,223,148
223,250,154
156,213,263
90,231,218
251,148,257
141,194,235
122,232,264
242,190,265
151,259,195
215,202,213
164,211,249
153,188,266
215,267,202
217,218,268
253,214,238
255,221,269
233,264,270
189,224,229
215,247,267
257,197,271
244,156,263
155,230,272
233,273,181
126,274,177
251,257,275
276,229,224
154,250,228
195,259,277
197,198,271
150,229,276
212,208,252
240,248,278
217,268,193
246,176,249
243,260,279
160,150,280
233,122,264
179,192,210
126,219,274
138,241,281
279,260,239
248,228,282
171,248,240
191,210,283
194,284,235
253,285,286
258,177,274
287,250,288
259,222,277
284,194,195
185,258,289
290,234,256
153,266,198
218,231,291
270,273,233
231,255,292
261,114,187
262,160,280
283,210,293
279,239,294
218,291,268
232,235,264
295,266,296
297,221,240
288,251,275
238,206,298
239,242,294
230,205,290
237,138,281
299,257,271
258,274,300
209,254,241
258,301,289
150,276,280
188,245,266
234,205,125
219,220,300
287,228,250
221,297,269
302,247,252
263,213,303
296,193,268
273,236,181
276,224,304
267,247,302
191,283,305
210,192,306
234,175,256
248,307,278
193,296,245
308,190,244
216,192,159
190,308,265
222,237,309
280,276,304
298,206,185
305,225,191
297,240,278
228,287,282
281,241,310
288,250,251
288,275,257
248,282,307
284,311,235
205,234,290
198,266,271
312,279,294
261,246,313
257,299,288
253,238,285
213,202,303
311,195,277
296,268,314
210,306,293
155,272,207
266,245,296
211,236,249
242,265,294
207,272,315
207,144,155
224,226,304
145,177,185
299,271,316
202,267,203
277,222,309
268,291,314
283,293,305
287,288,317
272,230,318
306,216,319
236,273,320
226,225,321
292,255,269
322,256,243
306,192,216
220,262,323
285,238,324
195,311,284
241,254,310
299,316,288
296,325,295
298,185,289
293,306,326
313,327,261
278,307,328
318,230,329
330,237,281
308,244,331
332,235,311
235,333,264
334,246,249
322,243,279
263,303,244
235,332,333
307,282,335
274,219,300
315,208,207
321,225,305
246,334,336
287,317,335
327,114,261
249,236,337
334,249,337
304,226,338
230,290,329
267,302,203
303,202,204
279,312,322
208,339,252
319,216,253
298,289,340
316,271,341
231,292,291
326,305,293
208,315,339
227,327,254
327,227,114
266,295,271
273,270,320
246,336,313
282,287,335
253,286,319
265,308,331
237,330,309
324,238,298
315,272,318
296,314,325
264,333,270
244,303,331
269,297,342
277,343,311
226,321,338
344,301,258
295,325,345
220,323,300
146,247,215
344,289,301
346,347,348
286,285,324
349,280,350
343,277,309
351,256,352
325,314,353
354,270,333
355,305,326
312,294,356
280,349,357
326,306,358
330,281,359
356,294,265
203,302,360
288,316,317
290,256,351
337,236,320
357,262,280
361,318,362
291,292,363
364,335,317
355,321,305
271,295,345
281,310,359
258,300,344
280,304,350
319,358,306
298,340,324
321,355,365
353,314,291
366,342,367
368,310,369
324,370,286
323,262,357
289,344,340
339,315,371
319,286,358
338,350,304
320,270,354
203,372,204
300,373,344
363,292,374
375,355,326
271,345,341
352,312,356
357,349,376
352,256,322
325,353,345
252,339,302
328,335,377
352,322,312
316,341,378
379,336,334
316,378,317
307,335,328
300,323,373
369,254,327
303,380,331
327,313,381
315,318,371
380,303,204
353,382,383
326,358,375
340,344,384
297,278,342
343,309,385
338,321,386
318,329,362
356,265,331
387,357,376
329,290,388
290,351,388
334,337,389
311,343,332
360,302,339
324,340,370
349,350,376
364,317,390
391,328,377
328,392,393
383,345,353
393,278,328
292,269,374
394,352,356
333,332,343
388,351,395
338,386,350
327,381,369
291,363,353
328,391,392
336,379,396
360,339,397
398,362,388
341,345,399
394,356,400
379,334,389
323,357,401
371,318,402
310,368,403
323,401,373
278,393,342
354,333,404
337,320,405
355,375,365
380,204,372
358,286,406
390,317,407
356,331,400
401,357,387
337,405,389
335,364,377
408,386,365
370,340,409
354,404,410
411,379,389
412,331,380
310,403,359
317,378,407
396,313,336
405,320,413
286,370,406
403,368,414
415,352,394
330,359,416
376,350,417
350,386,418
309,330,385
382,353,419
372,203,360
353,363,419
340,384,420
375,358,406
366,269,342
365,375,421
422,371,402
410,320,354
350,418,417
392,423,393
343,424,333
369,425,368
359,403,416
380,426,412
362,329,388
269,366,374
351,352,415
425,369,427
401,387,428
313,396,381
339,429,397
344,373,384
331,412,400
430,400,431
432,387,433
339,371,429
419,363,434
387,376,433
330,416,385
435,391,377
333,424,404
435,377,364
421,375,406
418,386,408
372,436,426
392,391,423
402,361,437
343,385,424
341,399,378
384,373,438
439,417,440
391,441,423
442,385,443
371,422,429
376,417,439
370,409,406
351,415,444
342,393,367
361,362,437
399,345,445
390,407,446
320,410,413
421,406,447
395,351,444
391,435,441
379,411,448
364,390,446
449,369,381
363,374,434
411,389,450
389,405,450
443,416,403
385,416,443
420,384,451
396,379,448
380,372,426
417,418,440
366,452,374
369,449,427
453,406,409
406,453,447
394,430,415
373,401,438
420,409,340
393,423,454
455,393,454
402,437,456
435,364,457
398,388,395
441,435,458
383,382,459
449,381,396
368,425,414
452,366,367
360,397,372
445,345,383
364,446,457
376,439,433
393,455,367
428,387,460
459,382,419
422,402,456
394,400,430
408,365,461
404,424,462
434,374,463
365,421,461
318,361,402
445,383,464
400,465,431
454,423,466
384,438,467
410,404,468
466,423,441
435,457,458
469,441,458
470,429,422
413,410,471
449,396,472
396,448,472
362,398,473
438,401,474
409,420,475
476,425,427
412,426,465
463,374,452
477,421,447
461,421,477
412,465,400
372,397,478
464,383,459
372,478,436
384,467,451
473,437,362
397,429,479
462,424,480
454,466,481
450,482,411
429,470,479
404,462,468
